"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Jun 24 18:00:51 GMT 2025","Tue Jun 24 18:00:51 GMT 2025","1","","Tests","TestReportAllure","","","Skip",""
"passed","Tue Jun 24 18:00:51 GMT 2025","Tue Jun 24 18:00:51 GMT 2025","1","","Tests","TestReportAllure","","","Fail",""
"passed","Tue Jun 24 18:00:51 GMT 2025","Tue Jun 24 18:00:51 GMT 2025","2","","Tests","TestReportAllure","","","Pass",""
